日期,時間,平均值
2022/7/1,00:00,6.69
2022/7/1,01:00,6.69
2022/7/1,02:00,6.69
2022/7/1,03:00,6.69
2022/7/1,04:00,6.69
2022/7/1,05:00,6.69
2022/7/1,06:00,6.69
2022/7/1,07:00,6.69
2022/7/1,08:00,6.59
2022/7/1,09:00,6.56
2022/7/1,10:00,6.53
2022/7/1,11:00,6.51
2022/7/1,12:00,6.49
2022/7/1,13:00,6.50
2022/7/1,14:00,6.51
2022/7/1,15:00,6.50
2022/7/1,16:00,6.50
2022/7/1,17:00,6.47
2022/7/1,18:00,6.27
2022/7/1,19:00,6.24
2022/7/1,20:00,6.45
2022/7/1,21:00,6.64
2022/7/1,22:00,6.64
2022/7/1,23:00,6.63
2022/7/2,00:00,6.63
2022/7/2,01:00,6.63
2022/7/2,02:00,6.63
2022/7/2,03:00,6.63
2022/7/2,04:00,6.62
2022/7/2,05:00,6.62
2022/7/2,06:00,6.61
2022/7/2,07:00,6.60
2022/7/2,08:00,6.61
2022/7/2,09:00,6.61
2022/7/2,10:00,6.59
2022/7/2,11:00,6.59
2022/7/2,12:00,6.60
2022/7/2,13:00,6.59
2022/7/2,14:00,6.58
2022/7/2,15:00,6.59
2022/7/2,16:00,6.59
2022/7/2,17:00,6.60
2022/7/2,18:00,6.61
2022/7/2,19:00,6.61
2022/7/2,20:00,6.61
2022/7/2,21:00,6.61
2022/7/2,22:00,6.62
2022/7/2,23:00,6.62
2022/7/3,00:00,6.62
2022/7/3,01:00,6.62
2022/7/3,02:00,6.63
2022/7/3,03:00,6.63
2022/7/3,04:00,6.63
2022/7/3,05:00,6.63
2022/7/3,06:00,6.62
2022/7/3,07:00,6.61
2022/7/3,08:00,6.61
2022/7/3,09:00,6.60
2022/7/3,10:00,6.61
2022/7/3,11:00,6.60
2022/7/3,12:00,6.60
2022/7/3,13:00,6.60
2022/7/3,14:00,6.60
2022/7/3,15:00,6.61
2022/7/3,16:00,6.60
2022/7/3,17:00,6.61
2022/7/3,18:00,6.61
2022/7/3,19:00,6.60
2022/7/3,20:00,6.60
2022/7/3,21:00,6.61
2022/7/3,22:00,6.61
2022/7/3,23:00,6.61
